name,country,budget_tier,best_weather,tags,ideal_duration
Milan,Italy,high,mild,"culture,cuisine,urban",6
Yasawa Islands,Fiji,high,hot,"nature,beaches,seclusion",10
Whistler,Canada,high,cold,"adventure,nature,wellness",4
Guanajuato,Mexico,medium,mild,"culture,cuisine,urban",4
Surabaya,Indonesia,low,hot,"culture,cuisine,urban",3
Nuuk,Greenland,high,cold,"nature,seclusion,adventure",6
Windhoek,Namibia,medium,mild,"adventure,nature,seclusion",4
Kingston,Jamaica,medium,hot,"culture,nightlife,cuisine",6
Nafplio,Greece,medium,mild,"culture,nature,cuisine",3
Tbilisi,Georgia,low,mild,"culture,cuisine,adventure",4
Heidelberg,Germany,medium,cold,"culture,nature,cuisine",3
Hobart,Australia,medium,mild,"nature,culture,cuisine",4
Nagasaki,Japan,medium,mild,"culture,cuisine,nature",3
Utrecht,Netherlands,medium,cold,"culture,nightlife,cuisine",3
Bagan,Myanmar,low,hot,"culture,nature,seclusion",6
Malmö,Sweden,medium,cold,"culture,cuisine,urban",3
Amsterdam,Netherlands,medium,cold,"culture,nightlife,urban",4
New York,United States,high,mild,"culture,nightlife,cuisine",8
Chicago,United States,high,cold,"culture,nightlife,cuisine",6
Raleigh,United States,medium,mild,"culture,nature,cuisine",3
Trondheim,Norway,high,cold,"culture,nature,seclusion",4
Bruges,Belgium,medium,cold,"culture,cuisine,seclusion",3
Reykjavik,Iceland,high,cold,"nature,adventure,wellness",4
Seoul,South Korea,medium,mild,"culture,nightlife,cuisine",6
Ankara,Turkey,medium,mild,"culture,cuisine,urban",6
Kyoto,Japan,high,mild,"culture,cuisine,nature",6
Tampa,United States,medium,mild,"nature,beaches,nightlife",4
Dublin,Ireland,medium,cold,"culture,nightlife,cuisine",4
Washington,United States,medium,mild,"culture,urban,nightlife",4
Livingstone,Zambia,medium,mild,"adventure,nature,seclusion",4
Kraków,Poland,medium,cold,"culture,nightlife,cuisine",4
Petra,Jordan,medium,mild,"culture,adventure,nature",6
